start_datetime duration liters month hour day max_flow fixture
1560493570 1112 93566 6 8 4 128 shower
1552515937 1117 60575 3 23 2 94 shower
1551903968 629 60562 3 21 2 135 shower
1559730048 546 60561 6 12 2 141 shower
1572262703 941 59174 10 12 0 87 shower
1556702852 1037 54046 5 11 2 72 shower
1562140330 540 52526 7 9 2 110 shower
1551535962 891 51732 3 15 5 94 shower
1553723551 544 49964 3 22 2 130 shower
1570513041 453 48866 10 7 1 123 shower
1553118814 561 46629 3 22 2 103 shower
1571291480 517 46142 10 7 3 119 shower
1571895038 641 44771 10 7 3 92 shower
1553461574 880 44692 3 22 6 105 shower
1558504989 414 44496 5 8 2 141 shower
1568152595 479 44072 9 23 1 105 shower
1557436995 613 42367 5 23 3 74 shower
1562567265 423 42360 7 8 0 112 shower
1570141599 453 41778 10 0 4 108 shower
1554485870 458 39894 4 19 4 96 shower
1570976492 420 39508 10 16 6 121 shower
1554625316 808 39436 4 10 6 65 shower
1556033219 1082 37448 4 17 1 67 shower
1554836724 359 36821 4 21 1 117 shower
1554326080 599 36104 4 23 2 87 shower
1570773192 423 35471 10 7 4 92 shower
1555571047 700 35359 4 9 3 67 shower
1559470102 312 35248 6 12 6 135 shower
1552239728 581 35142 3 18 6 81 shower
1563129915 398 34271 7 20 6 99 shower
1568655882 591 33921 9 19 0 128 shower
1557900215 515 33598 5 8 2 72 shower
1559987836 290 32680 6 11 5 135 shower
1569748852 386 32595 9 11 6 96 shower
1560612955 324 32475 6 17 5 137 shower
1558600693 450 32135 5 10 3 87 shower
1559227033 333 31917 5 16 3 141 shower
1563130619 367 31618 7 20 6 96 shower
1555175104 74 31521 4 19 5 1131 kitchenfaucet
1555691514 325 31128 4 18 4 126 shower
1560093974 312 31093 6 17 6 144 shower
1564476161 394 30867 7 10 1 103 shower
1571725739 1290 30479 10 8 1 27 bidet
1560536208 350 30270 6 20 4 130 shower
1559918046 318 30245 6 16 4 108 shower
1566493095 386 30104 8 18 3 101 shower
1555308994 391 29652 4 8 0 101 shower
1571981449 430 28441 10 7 4 87 shower
1568819264 313 28261 9 17 2 130 shower
1560148828 237 27548 6 8 0 139 shower
1568821284 348 27399 9 17 2 94 shower
1569750907 293 26861 9 11 6 110 shower
1569509036 460 26689 9 16 3 65 shower
1562442676 308 26426 7 21 5 101 shower
1564937423 412 26398 8 18 6 76 shower
1569139031 302 26355 9 9 6 121 shower
1570601493 247 24877 10 8 2 117 shower
1560406133 246 24818 6 8 3 137 shower
1557813263 430 24585 5 7 1 119 shower
1571768460 239 24517 10 20 1 137 shower
1558418604 209 24380 5 8 1 135 shower
1558371868 27 24306 5 19 0 2720 kitchenfaucet
1565884675 604 24054 8 17 3 105 shower
1565987080 395 23999 8 22 4 87 shower
1554114677 320 23913 4 12 0 83 washbasin
1563301711 295 23849 7 20 1 103 shower
1561440728 292 23733 6 7 1 119 shower
1571147849 274 23390 10 15 1 114 shower
1562915545 332 23312 7 9 4 108 shower
1569383789 239 23285 9 5 2 135 shower
1559021230 246 23243 5 7 1 148 shower
1554114561 485 23168 4 12 0 117 shower
1563863167 340 22875 7 8 1 85 shower
1565718580 265 22790 8 19 1 101 shower
1562739635 232 22682 7 8 2 105 shower
1564502052 266 22608 7 17 1 99 shower
1567664174 330 21832 9 8 3 76 shower
1569327302 297 21828 9 14 1 96 shower
1556293097 267 21510 4 17 4 92 shower
1569944273 254 21400 10 17 1 94 shower
1560947182 176 21236 6 14 2 148 shower
1570972497 225 21103 10 15 6 128 shower
1558165682 330 21022 5 9 5 92 shower
1559800286 248 21011 6 7 3 101 shower
1559541514 242 20823 6 7 0 121 shower
1571204078 400 20611 10 7 2 150 shower
1560232143 185 20234 6 7 1 146 shower
1571340076 231 19852 10 21 3 128 shower
1561922932 219 19684 6 21 6 146 shower
1566199188 199 19439 8 9 0 114 shower
1558343933 41 19419 5 11 0 1372 kitchenfaucet
1567749788 243 19285 9 8 4 112 shower
1562218311 374 19183 7 7 3 74 shower
1556958103 301 19145 5 10 5 72 shower
1571419579 294 18836 10 19 4 69 shower
1570652532 194 18769 10 22 2 117 shower
1556450985 218 18637 4 13 6 121 shower
1556033526 413 18219 4 17 1 51 washbasin
1572070829 237 18082 10 8 5 92 shower
1570375425 229 17683 10 17 6 96 shower
1571474859 187 17605 10 10 5 110 shower
1571119555 260 17574 10 8 1 139 shower
1560584216 379 17548 6 9 5 58 washbasin
1564556123 203 17407 7 8 2 99 shower
1560332807 212 17384 6 11 2 110 shower
1561614852 161 17347 6 7 3 137 shower
1553462060 334 17194 3 22 6 56 washbasin
1566747968 327 16906 8 17 6 76 washbasin
1568093387 232 16892 9 7 1 90 shower
1551250694 254 16470 2 7 2 112 shower
1559670974 173 16372 6 19 1 135 shower
1556703152 293 16353 5 11 2 108 washbasin
1572252584 238 16251 10 9 0 74 kitchenfaucet
1569495792 53 16153 9 13 3 945 kitchenfaucet
1561400839 185 16152 6 20 0 126 shower
1560351404 162 16140 6 16 2 144 shower
1560934666 319 15789 6 10 2 65 washbasin
1571058849 319 15422 10 15 0 54 shower
1562449154 152 15306 7 23 5 114 shower
1555571332 227 15149 4 9 3 74 washbasin
1559841717 172 15062 6 19 3 112 shower
1567874845 165 15039 9 18 5 105 shower
1562414643 188 14881 7 14 5 101 shower
1555482084 297 14723 4 8 2 76 shower
1567405117 227 14607 9 8 0 117 shower
1572217830 192 14596 10 0 0 87 shower
1571509419 179 14474 10 20 5 94 shower
1569217896 169 14376 9 7 0 101 shower
1571496697 153 14303 10 16 5 101 washbasin
1564390902 194 14278 7 11 0 83 shower
1569605210 286 14168 9 19 4 67 shower
1572120192 343 14074 10 22 5 92 shower
1570862196 130 14032 10 8 5 123 shower
1565719174 239 13980 8 19 1 94 shower
1553761849 24 13811 3 9 3 1440 kitchenfaucet
1569821674 149 13638 9 7 0 114 shower
1572177499 169 13614 10 12 6 112 shower
1552978689 177 13604 3 7 1 92 shower
1565049605 182 13577 8 2 1 110 kitchenfaucet
1561315203 222 13544 6 20 6 83 shower
1561962834 153 13407 7 8 0 103 shower
1572253684 177 13372 10 10 0 87 kitchenfaucet
1562960771 149 13346 7 21 4 123 shower
1569095209 220 13296 9 21 5 78 shower
1556703530 315 13296 5 11 2 54 washbasin
1560493969 270 13081 6 8 4 110 washbasin
1567193865 175 13043 8 21 4 105 shower
1560617032 145 13023 6 18 5 117 shower
1571496596 253 12995 10 16 5 63 shower
1570377328 156 12822 10 17 6 92 washbasin
1563827592 140 12612 7 22 0 108 shower
1572213688 180 12566 10 23 6 81 shower
1564504090 192 12555 7 18 1 76 shower
1567268055 170 12381 8 18 5 94 shower
1561357482 169 12185 6 8 0 87 shower
1570715982 130 12082 10 15 3 114 shower
1570292358 207 11972 10 18 5 67 shower
1562780646 133 11792 7 19 2 101 shower
1560943962 275 11594 6 13 2 47 kitchenfaucet
1563065661 187 11509 7 2 6 96 shower
1561147878 242 11431 6 22 4 105 shower
1561222150 134 11406 6 18 5 96 shower
1570552517 134 11351 10 18 1 105 shower
1570377251 231 11260 10 17 6 63 shower
1567494113 152 11164 9 9 1 85 shower
1568007060 148 11009 9 7 0 85 shower
1556910865 39 10969 5 21 4 560 kitchenfaucet
1563724813 159 10862 7 18 6 103 shower
1561483018 161 10837 6 19 1 81 shower
1569676424 115 10827 9 15 5 114 shower
1560674587 272 10814 6 10 6 42 kitchenfaucet
1551511529 154 10763 3 8 5 94 kitchenfaucet
1555571071 143 10732 4 9 3 85 washbasin
1569050507 113 10571 9 9 5 132 shower
1560942703 360 10406 6 13 2 31 washbasin
1570195060 265 10393 10 15 4 69 shower
1565031072 133 10389 8 20 0 92 shower
1563995336 180 10325 7 21 2 74 shower
1565029257 224 10164 8 20 0 54 shower
1560200082 222 10156 6 22 0 49 kitchenfaucet
1571058977 193 9927 10 15 0 114 washbasin
1564035749 118 9849 7 8 3 94 shower
1559898128 24 9783 6 11 4 1984 kitchenfaucet
1556002356 308 9768 4 8 1 38 kitchenfaucet
1560583908 268 9762 6 9 5 69 shower
1571146288 159 9736 10 15 1 67 kitchenfaucet
1567874228 198 9728 9 18 5 60 shower
1568887069 146 9683 9 11 3 92 shower
1570921656 159 9633 10 1 6 65 kitchenfaucet
1570552521 125 9513 10 18 1 90 washbasin
1552238624 261 9502 3 18 6 51 bidet
1569245563 144 9203 9 15 0 67 kitchenfaucet
1567852399 160 9094 9 12 5 60 kitchenfaucet
1556010092 37 8920 4 11 1 765 kitchenfaucet
1569656053 167 8903 9 9 5 58 kitchenfaucet
1570140873 183 8869 10 0 4 67 bidet
1562676972 129 8850 7 14 1 99 shower
1558343918 14 8720 5 11 0 2765 kitchenfaucet
1561472728 211 8558 6 16 1 92 shower
1561880967 134 8558 6 9 6 67 kitchenfaucet
1565986184 239 8471 8 22 4 81 shower
1555571618 134 8469 4 9 3 67 washbasin
1559227138 111 8411 5 16 3 85 washbasin
1558268467 109 8397 5 14 6 87 kitchenfaucet
1561013072 133 8380 6 8 3 74 shower
1569495867 13 8370 9 13 3 1696 kitchenfaucet
1566492721 103 8126 8 18 3 90 bidet
1562928566 267 8113 7 12 4 33 washbasin
1570715992 118 8040 10 15 3 78 washbasin
1556325542 140 7796 4 2 5 148 bidet
1571505722 115 7747 10 19 5 72 kitchenfaucet
1558336557 93 7743 5 9 0 162 shower
1560468385 129 7624 6 1 4 60 kitchenfaucet
1562960510 144 7466 7 21 4 56 bidet
1563825821 163 7319 7 22 0 49 shower
1557959660 142 7293 5 0 3 72 kitchenfaucet
1563385651 100 7289 7 19 2 92 shower
1570920871 149 7182 10 0 6 56 kitchenfaucet
1568470449 103 7064 9 16 5 114 shower
1570651698 166 6982 10 22 2 54 bidet
1565099770 107 6864 8 15 1 67 kitchenfaucet
1564124512 100 6845 7 9 4 87 shower
1556281252 65 6780 4 14 4 130 kitchenfaucet
1555363038 93 6741 4 23 0 103 washbasin
1571497294 80 6552 10 17 5 87 kitchenfaucet
1558979379 109 6532 5 19 0 67 shower
1562607511 108 6467 7 19 0 128 shower
1560703948 116 6450 6 18 6 117 shower
1555689995 110 6437 4 18 4 108 kitchenfaucet
1563133301 162 6428 7 21 6 42 kitchenfaucet
1556033264 84 6382 4 17 1 78 washbasin
1559800291 120 6340 6 7 3 65 washbasin
1551476586 167 6287 3 22 4 42 bidet
1562192063 108 6252 7 0 3 67 bidet
1556025863 215 6213 4 15 1 126 kitchenfaucet
1569918317 17 6025 10 10 1 983 kitchenfaucet
1558418697 113 6008 5 8 1 63 washbasin
1560613023 73 6005 6 17 5 90 washbasin
1554625706 286 5954 4 10 6 58 washbasin
1553443072 205 5854 3 16 6 63 kitchenfaucet
1558165905 102 5802 5 9 5 69 washbasin
1569605296 53 5769 9 19 4 112 washbasin
1571491139 47 5768 10 15 5 139 kitchenfaucet
1554326476 60 5704 4 23 2 103 washbasin
1551192560 84 5607 2 15 1 83 washbasin
1570195475 123 5591 10 15 4 54 washbasin
1560192753 118 5558 6 20 0 51 kitchenfaucet
1553328041 136 5556 3 9 5 45 kitchenfaucet
1565080778 148 5556 8 10 1 67 kitchenfaucet
1570976524 64 5539 10 16 6 90 washbasin
1557959844 143 5535 5 0 3 96 shower
1566024431 95 5525 8 8 5 60 kitchenfaucet
1558600727 82 5519 5 10 3 74 washbasin
1562789362 63 5491 7 22 2 92 kitchenfaucet
1571809840 75 5488 10 7 2 78 kitchenfaucet
